List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
20,AYU0056,Karnataka,"JSS Ayurveda Medical College, No. 41/E, Lalithadripura Road, Mysore-570028, Karnataka",Private,"Grant of Conditional Permission with intake capacity of 100 seats in UG (BAMS) course and 53 seats in 10 PG course in subject namely (i) Rasa Shastra & Bhaisajya Kalpana - 04 seats (ii) Dravyaguna - 04 seats (iii) Panchakarma - 05 seats (iv) Swasthavritta - 06 seats
(v)  Rog  Nidan  Avum  Vikriti  Vigyan  -  05  seats  (vi) Shalakya  Tantra  -  06  seats  (vii)  Kaya  Chikitsa  -  06 seats (viii) Kaumarbhritya - 06 seats (ix) Prasuti & Stri Roga - 06 seats (x) Shalya  Tantra  - 05 seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",100,53,0,0,0,0,Conditional Permission (UG- 100 seats without EWS & PG - 53 seats without EWS)
21,AYU0057,Karnataka,"Sindagi Shanta Veereshwar, Ayurvedic Medical College & Hospital, Shantaveera Nagar, Ijarilakamapur, P.B. Road, Distt.-Haveri-581183, Karnataka",Private,"Grant of Conditional Permission with intake capacity for
60  seats  in  UG  (BAMS)  Course  for  the  academic session
2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
22,AYU0058,Karnataka,"Shri Vijay Mahantesh Ayurvedic Medical College,
Tq. –Hungund, Dist. Bagalkot, Ilkal-587125,
Karnataka",Private,"Grant of Conditional Permission  with intake capacity of 60 seats in UG (BAMS) course and 30 Seats in 06 PG course  in  subject  namely  i)  Prasuti  &  Stri  Roga-  05 seats,  ii)  Ayurved  Samhita  &  Siddhanta-05  seats,  iii) Kayachikitsa-05 seats, iv) Shalya Tantra-05 seats,
v) Panchakarma- 05 seats and vi) Shalakaya Tantra - 05  seats  for  the  academic  session  2024-25  under section 28 of NCISM Act, 2020",60,30,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 30
seats without EWS)"
23,AYU0059,Karnataka,"Bapuji Ayurvedic Medical College & Hospital, Sowlanga Road, Opp. A.G. College, Channamumbapura, Shimoga- 577204, Karnataka",Private,"Grant of Conditional Permission with intake capacity of
50  seats  in  UG  (BAMS)  Course  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
24,AYU0063,Karnataka,"Bapuji Ayurvedic Medical College and Hospital ,
Bapuji Campus, T.R. Nagara, Challakere,
Distt. Chitradurga-577522, Karnataka",Private,"Grant of Conditional Permission with intake capacity 60 seats  in  UG  (BAMS)  course  for  the  academic  session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
25,AYU0064,Karnataka,"Sri Dharmastala Manjunatheshwara College of Ayurveda and Hospital Thanniruhalla, B M Road, Taluka & Distt. Hassan-573201, Karnataka",Private,"Grant of Conditional Permission with intake capacity of 100 seats in UG (BAMS) Course and 93 Seats in 15 PG courses  in  the  subject  namely  i)  Ayurved  Samhita, Sanskrit  &  Siddhanta-  12  seats  ii)  Rachna  Sharir-  06 seats iii) Kriya Sharir-06 seats iv) Dravyaguna Vigyana 06 seats v) Swasthavritta & Yoga (upto 2016-17) - 06 seats vi) Prasuti & Stri Roga -06 seats vii) Rog Nidan avum  Vikriti  Vigyan-06  seats  viii)  Agad  Tantra  avum Vidhi Vaidyaka- 06 seats xi) Rasa Shastra & Bhaisajya Kalpana-06  seats  x)  Kaumarbhritya  -Bala  Roga-  06 seats xi) Kayachikitsa- 06 seats xii) Shalya - 05 seats
xiii) Shalakya - 04 seats xiv) Panchakarma - 06 seats
xv)  Kayachikitsa-Manovigyana  avummanas  Raga  -06 seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",100,93,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 93
seats without EWS)"
26,AYU0065,Karnataka,"K.V.G Ayurved Medical College & Hospital,
Ambatedka Sullia, Distt. Dakshin,
Kannada -574327, Karnataka",Private,"Gant of Conditional Permission with intake capacity of 100 seats in UG (BAMS) Course and 34 Seats in 06 PG Course  in  the  subject  namely  i)  Agad  Tantra  avum Vidhi  Vaidyaka  -05  seats  ii)  Dravyaguna  Vigyana-06 seats  iii)  Panchakarma-06  seats  iv)  Kayachikitsa-05 seats v) Rasa Shastra & Bhaisajya Kalpana-06 seats vi) Shalyatantra- 06 seats for the academic session 2024-
25 under section 28 of NCISM Act, 2020",100,34,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 34
seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
27,AYU0066,Karnataka,"Shri Jagadguru Gurusiddeshwar Co-Operative Society’s Sahakar Maharshi, Shri B. A. Patil Ayurvedic Medical College, Tal- Gokak, Dist. Belgaum, Ghataprabha-591310, Karnataka",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
28,AYU0067,Karnataka,"Sri Kalabyraveswara Swamy Ayurvedic Medical College, Hospital and Research Centre, No.10, Pipe Line Road, R.P.C Layout, Vijayanagar, Bangalore- 560104,
Karnataka",Private,"Grant of Conditional Permission with intake capacity of 100 seats in UG (BAMS) course and 30 Seats in 05 PG course  in  the  subject  namely  i)  Panchakarma  -  06 seats ii) Prasuti & Stri Roga- 06 seats iii) Kayachikitsa - 06  seats  iv)  Shalya  tantra  -  06  seats  v)  Shalakya tantra  -  06  seats  for  the  academic  session  2024-25 under section 28 of NCISM Act, 2020",100,30,0,0,0,0,Conditional Permission (UG - 100 seats & PG - 30 seats without EWS)
