List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
81,AYU0188,Maharashtra,"Late Shri Babrawan Vithalrao Kale Ayurved Medical College & Hospital, Behind Bus Stand, Ghandhi Maidan,
Tq. Latur-413512, Maharashtra",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  04  seats  in  01  PG  Course  in  the subject namely Rachna Sharir for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,4,0,0,0,0,Conditional Permission (UG - 60 seats without EWS & PG - 04 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
82,AYU0189,Maharashtra,"Bal Bhagwan Shikshan Prasarak Mandal’s Dhanwantari Ayurved Medical College & Hospital, Degloor Road,
Udgir-413517, Distt. Latur, Maharashtra",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
83,AYU0191,Maharashtra,"BSSS’S Ramrao Patil Ayurved Mahavidyalaya & Rugnalaya, Bus Stand Road, Tq. Purna- 431511,
Distt. Parbhani, Maharashtra",Private,"Grant  of  Conditional  Permission  for  40  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",40,0,0,0,0,0,Conditional Permission (UG - 40 seats without EWS)
84,AYU0192,Maharashtra,"Loknete Rajarambapu Patil Ayurvedic Medical College, Hospital, Post Graduate Institute & Research Centre, Urun-Islampur, Sangli Road, Tal. Walwa,
Distt. Sangali-415409, Maharashtra",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG
{BAMS}  course  and  64  seats  in  11  PG  course  in  the subject  namely  (i)  Prasuti  &  Stri  Roga  -  05  seats  (ii) Kayachikitsa  -  05  Seats  (iii)  Rog  Nidan  avum  Vikriti Vigyan  -  06  Seats  (iv)  Kaumarbhritya  -  06  Seats  (v) Panchakarma - 06 Seats (vi) Shalakya - 06 Seats (vii) Shalya  -  06  Seats  (viii)  Agad  Tantra  avum  Vidhi Vaidyaka - 06 Seats (ix) Rasa Shastra evum Bhashjya Kalpna-  06  seats  (x)  Swasthavritta-  06  seats  (xi) Dravyaguna Vigyan-06 seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",100,64,0,0,0,0,"Conditional Permission (UG - 100 seats without EWS, PG - 64 seats without EWS)"
85,AYU0194,Maharashtra,"Dr. J.J Magdum Ayurved Medical College,
Tal. Shirol-Wadi Road, Jaysingpur-416101,
Dist.-Kolhapur, Maharashtra",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  for  the  academic  session  2024-25, under section 28 of NCISM Act, 2020 & Issuance of Letter  of  Permission  to  start  02  New  PG  Courses with 12 Seats in the subject namely :-(i) Prasuti tantra evam  Stri  Roga  -  06  Seats  (ii)  Kaumarbhritya  -  06 seats   from   the   academic   session   2024-25,   under section 29 of NCISM Act, 2020 & Issuance of Letter of Permission  for increase intake capacity in existing UG (BAMS) course from 60 seats to 100 seats from the academic session 2024-25, under section 29 of NCISM Act,   2020   and   relevant   regulations   thereunder   in respect of 1st appeal dated 07.10.2024.",100,12,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Letter of Permission (PG - 12 seats without EWS) & Letter of Permission (60 to 100 seats)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
86,AYU0195,Maharashtra,"Mahatma Gandhi Ayurved College, Hospital & Research Centre, Salod Hirapur,
Distt. Wardha-442001, Maharashtra",Deemed University (Private),"Grant of Conditional permission for intake capacity with 100 seats in UG (BAMS) course and 48 seats in 09 PG course  in  the  Subject  namely  (i)  Ayurveda  Samhita Siddhanta-  04  seats  (ii)  Rachna  Sharir-  04  seats  (iii) Dravyaguna  Vigyan-  04  seats  (iv)  Kayachikitsa-  06 seats  (v)  Panchakarma-  06  seats  (vi)  Ras  Shastra evum  Bhishjya  Kalpana-  06  seats  (vii)  Agad  tantra evum  Vidhi  Vaidyaka-  06  seats  (viii)  Kaumarbhritya- 06  seats  and  (ix)  Shalya  Tantra-  06  seats,  under section  28  of  NCISM  Act,  2020  for  the  academic session    2024-25    and    issuance    of    Letter    of Permission to start 02 New PG courses with 12 Seats in the  subject  namely (i)  Shalakaya Tantra- 06 Seats and (ii) Prasuti & Stri Raga -06 seats under section 29 of NCISM Act, 2020 from the academic session 2024- 25",100,60,0,0,0,0,"Conditional Permission & Issuance of Letter of Permission 02 PG course (UG - 100 seats without EWS, PG - 60 seats without EWS)"
87,AYU0196,Maharashtra,"Aditya Ayurved College & Research Centre, Sarada Estate Nalawandi Naka, Pimpalner Road, Beed- 431122, Maharashtra",Private,"Grant  of  Conditional  Permission  for  50  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
88,AYU0198,Maharashtra,"S.M.B.T. Ayurved College & Hospital
At. Nandi Hills, Dhamangaon, Teh. Igatpuri,
Distt. Nashik–422403, Maharashtra",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and  36  seats  in  06  PG  course  in  the subject   namely   (i)   Kayachikitsa-   06   seats,   (ii) Panchkarma  -  06  seats,  (iii)  Prasuti  &  Stri Roga  - 06 seats,  (iv)  Kaumarbhritya-Bala  Roga  -  06  Seats,  (v) Shalakya - 06 seats and (vi) Shalya Tantra - 06 seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",100,36,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 36
seats without EWS)"
89,AYU0201,Maharashtra,"Shri K.R. Pandav Ayurved College & Hospital,
Bahadura, Near Dighori Naka, Umred Road,
Distt. Nagpur-441204, Maharashtra",Private,"Grant of Conditional permission for intake capacity with
60  seats  in  UG  (BAMS)  Course  under  section  28  of NCISM  Act,  2020  for  the  academic  session  2024-25 and issuance of Letter of Permission for increase in intake
capacity in existing UG  (BAMS)  Course  from 60 seats to 100 seats under section 29 of NCISM Act, 2020 from",100,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Letter of Permission 60 to 100 seats
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
90,AYU0202,Maharashtra,"Dr. D.Y. Patil College of Ayurved & Research Institute, Dr. D.Y. Patil Vidya Nagar, Sector-7, Taluka-Nerul, Navi Mumbai, Distt.- Thane-400706, Kharghar, Maharashtra",Deemed University (Private),"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and 45 seats in 12 PG  Courses in the subject namely- (i) Agad Tantra avum Vidhi Vaidyaka- 04 seats, (ii) Swasthavritta-03 seats, (iii) Dravyaguna Vigyana-04  seats,  (iv)  Kaumarbhritya-03  seats,  (v) Kayachikitsa-04 seats, (vi) Kriya Sharir-03 seats, (vii) Rachana  Sharir  -  03  seats,  (viii)  Ayurved  Samhita, Sanskrit & Siddhanta-03 seats, (ix) Rog Nidan-Chhaya avum  Vikiran  Vigyan-03  seats,  (x)  Shalakya  Netra Roga-03  seats,  (xi)  Shalya  Tantra-03  Seats  and  (xii) Rasa  Shastra  &   Bhaisajya  Kalpana-09  Seats,  for  the academic session 2024-25, under section 28 of NCISM Act, 2020",100,45,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 45
seats without EWS)"
91,AYU0204,Maharashtra,"Vimla Devi Ayurvedic Medical College & Hospital
At Wandhari, Post-Tadali Tal & Dist-Chandarpur-442406, Maharashtra",Private,"Grant  of  Conditional  Permission  for  100  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
92,AYU0211,Odisha,"Sri Sri Nrusinghnath Ayurved College & Research Institute, At- Nrusinghnath,  P.O Paikmal, Distt. Bargarh-768039,
Odisha",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
93,AYU0214,Punjab,"Sri Satya Sai Murlidhar Ayurvedic College & Hospital, Vill. Duneke, G.T. Road, Distt. Moga-142001, Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
94,AYU0215,Punjab,"Mai Bhago Ayurvedic Medical College for Women
Ferozpur Road, Distt. Muktsar- 152026,
Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
95,AYU0216,Punjab,"Guru Nanak Ayurvedic Medical College & Hospital
Near Ajit Cinema, Barkandi Road,
Taluka: Muktsar-152026, Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
96,AYU0217,Punjab,"Guru Nanak Ayurvedic Medical College & Research Institute, Malerkotla Road, Gopalpur, Near Dehlon,
Dist. Ludhiana-141118, Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
97,AYU0218,Punjab,"Shri Lakshmi Narayan Ayurvedic College,
Sant Tulsi Dass Marg Amritsar- 143001,
Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
98,AYU0219,Punjab,"Dayanand Ayurvedic College, Mahatma Hans Raj Marg, G.T. Road, Opp. Burlton Park, Distt. Jalandhar-144008, Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  10  seats  in  02  PG  courses  in  the subject  namely  (i)  Panchkarma  -05  seats  and  (ii) Dravyaguna  Vigyana  -  05  seats  for  the  academic session 2024-25, under section 28 of NCISM Act, 2020",60,10,0,0,0,0,"Conditional Permission (UG - 60 seats, PG- 10
seats without EWS)"
99,AYU0220,Punjab,"Shaheed Kartar Singh Sarabha Ayurvedic Medical College & Hospital,
VPO Sarabha, Distt. Ludhiana- 141105,
Punjab",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
100,AYU0224,Puducherry,"Rajiv Gandhi Ayurveda Medical College and Hospital, Chalakkara, New Mahe. P.O, Parasinikkadavu, Kannur, Kerala Puducherry-673311",Government,"Grant of Conditional Permission with 50 seats (63 seats including EWS) in UG (BAMS) course under section 28 of NCISM Act, 2020 for the academic session 2024-25",50,0,0,63,0,0,Conditional Permission (UG - 50 seats without EWS & UG - 63 seats including EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
101,AYU0225,Rajasthan,"National Institute of Ayurveda, (Deemed to be University) Madhav Vilas Palace Amer Road, Jaipur-302002, Rajasthan",National Institute (Government),"Grant  of  Conditional  Permission  with  100  seats  (125 seats  including  EWS)  in  UG  (BAMS)  Course  and  104 Seats  (130  seats  including  EWS)  in  14  PG  Course namely i), Agad Tantra avum Vidhi Vaidyaka- 06 seats (07  seats  including  EWS),  ii).  Prasuti  &  Stri  Roga-07 seats   (09   seats   including   EWS),   iii).   Dravyaguna Vigyana-09   seats   (11   seats   including   EWS),   iv). Kaumarbhritiya   -   Bala   Raga-   07   seats   (08   seats including  EWS),  v),  Kayachikitsa-09  seats  (11  seats including  EWS),  vi).  Kriya  Sharir-08  seats  (10  seats including EWS), vii),  Panchakarma-07 seats (08 seats including   EWS),   viii).   Rasa   Shastra   &   Bhaisajya Kalpana-08   seats   (10   seats   including   EWS),   ix). Rachna Sharir-07  seats (09  seats including  EWS),  x). Ayurved  Samhita,  Sanskrit  &  Siddanta-08  seats  (10 seats   including   EWS),   xi).   Rog   Nidanavum   Vikriti Vigyan-08   seats   (11   seats   including   EWS),   xii). Swasthavritta-07 seats (09 seats including EWS), xiii). Shalakya-06 seats (08 seats including EWS) and xiv). Shalya  Tantra-07  seats  (09  seats  including  EWS), under section 28 of NCISM Act, 2020 for the academic
session 2024-25",100,104,0,125,130,0,"Conditional Permission (UG- 100 seats, PG - 104
seats without EWS) & (UG
- 125 seats, PG - 130 seats including EWS)"
102,AYU0226,Rajasthan,"Madan Mohan Malviya Govt. Ayurveda College,
Rada ji circle, Ambamata, Udaipur-313001, Rajasthan",Government,"Grant of Conditional Permission for intake capacity with
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course and 38 seats (49 seats including EWS) [instead of 39 seats (50 seats including EWS)] in 08 PG Course namely  (i)  Kayachikitsa-  05  seats  (06  seats  including EWS) (ii) Shalya  Tantra- 05 seats (07 seats including EWS)  (iii)  Prasuti  &  Stri  Roga  -  05  seats  (06  seats including EWS) (iv) Rasa Shastra & Bhaisajya Kalpana 04  seats  (06  seats  including  EWS)  (v)  Dravyaguna Vigyana   -05   seats   (07   seats   including   EWS)   (vi) Rachna Sharir-05 seats (06 seats including EWS) (vii) Kriya  Sharir-  05  seats  (06  seats  including  EWS)  (viii) Rog Nidan avum Vikriti Vigyan - 04 seats (05 including EWS ) [instead of 05 seats (06 seats including EWS)] for  the  academic  year  2024-25  under  section  28  of NCISM  2024  &  1st  Renewal  Permission  in  05  PG courses  with  24  seats  (including  EWS)  (instead  of  25 seats  (including  EWS))  in  the  subjects  namely-  (i) Shalakya  Tantra-04  seats  (including EWS)  [instead of 05   seats   (including   EWS)]   (ii)   Kaumarbhritya-Bala Roga -05 seats (including EWS) (iii)  Ayurved Samhita &  Siddhanta-  05  seats  (including  EWS)   (iv)  Agad Tantra avum Vidhi Vaidyaka- 05 seats (including EWS)
(v)   Panchkarma-05   seats   (including   EWS)   for   the",60,62,0,75,73,0,"Conditional Permission (UG - 60 seats, PG - 38
seats without EWS) & (UG
- 75 seats, PG- 49 seats including EWS) & Ist Renewal of Permission (PG
- 24 seats including EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
103,AYU0227,Rajasthan,"Shri Bhanwar Lal Dugar Ayurved Vishwabharti Gandhi Vidya Mandir Dist. Churu, Sardar Shahr-331403, Rajasthan",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
104,AYU0229,Rajasthan,"Punjab Ayurved Medical College & Hospital,
43 MMK, Hanumangarh Road Morjand Khari,
Sri Ganganagar-335037, Rajasthan",Private,"Grant of Conditional Permission for intake capacity with
60  seats  in  UG  (BAMS)  course  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
105,AYU0231,Rajasthan,"B. M. Education Foundation Trust, Shekhawati Ayurvedic College Behl Road, Harikunj, Ganga Colony, Teh. Chirawa, Distt. Jhunjhunu,
Pilani-333031, Rajasthan",Private,"Grant of Conditional Permission with intake capacity of 60 seats in UG (BAMS) course for the academic session 2024-25  under  section  28  of  NCISM  Act,  2020  and relevant  regulations  thereunder  in  respect  of  appeal dated 22.10.2024.",60,0,0,0,0,0,Conditional Permission after Ist Appeal (UG - 60 seats without EWS)
106,AYU0232,Rajasthan,"Shri Shirdi Sai Baba Ayurvedic College & Hospital Mundiyagarh Kishangarh Renwal, Jaipur- 303603, Rajasthan",Private,"Grant  of  Conditional  Permission  with  50  seats  in  UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
107,AYU0233,Tamil Nadu,"Ayurveda College, RVS Campus, 242-B Trichy Road, Sulur, Coimbatore-641108,
Tamil Nadu",Private,"Grant of Conditional Permission with intake capacity of 40 seats in UG (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020",40,0,0,0,0,0,Conditional Permission (UG - 40 seats without EWS)
108,AYU0237,Tamil Nadu,"Government Ayurveda Medical College and Hospital, Kottar, Nagercoil – 629002,
Tamil Nadu",Government,"Grant of Conditional Permission for intake capacity with 60 seats in UG (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
109,AYU0238,Uttarakhand,"Rishikul Govt P.G. Ayurvedic College & Hospital, Haridwar- 249401, Uttarakhand",Government,"Grant of conditional permission with 45 seats (56 seats including EWS) [instead of 60 seats (75 Seats including EWS)]  in  UG  (SAMS)  course  and  54  seats  (68  seats including EWS) in 11 PG course in the subjects namely
(i)  Rasa  Shastra  -07  seats  (08  seats  including  EWS),
(ii) Panchakarma - 05 seats (06 seats including EWS),
(iii) Dravyaguna Vigyana - 04 seats (05 seats including EWS), (iv) Kayachikitsa - 04 seats (06 seats including EWS),  (v)  Prasuti  Tantra  &  Stri  Roga  -  04  seats  (05 seats  including  EWS),  (vi)  Rachana  Sharir  -  06  seats (07 seats including EWS), (vii) Agad Tantra - 06 seats (07  seats  including  EWS),  (viii)  Shalya  Tantra  -  05 seats (07 seats including EWS), (ix) Shalakya Tantra - 04 seats (05 seats including EWS), (x) Rog Nidan - 06 seats (07 seats including EWS) and (xi) Kaumarbhritya
- 03 seats (05 seats including EWS) for the academic session 2024-25, under section 28 of NCISM Act, 2020",45,54,0,56,68,0,"Conditional Permission with Seat Reduction (UG - 45 seats, PG - 54 seats without EWS) & (UG - 56 seats, PG - 68 seats including EWS)"
110,AYU0242,Uttarakhand,"Himalayiya Ayurvedic (PG) Medical College & Hospital, Gram-Fatehpur Tanda, Post-Via Doiwala,
Jeevanwala, Dehradun-248140, Uttarakhand",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  20  seats  in  04  PG  courses  in  the subject namely - (i) Dravyaguna Vigyana- 05 seats (ii) Panchkarma  -  05  seats  (iii)  Rachna  Sharir-  05  seats
(iv) Kriya Sharir- 05 seats under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,20,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 20
seats without EWS)"
111,AYU0244,Uttar Pradesh,"State Ayurvedic College & Hospital,
Tulsidas Marg, Lucknow- 226001,
Uttar Pradesh",Government,"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course and 39 seats( 49 seats including EWS) in 08 PG courses in the subject namely i) Kayachikitsa- 06 seats (08  including  EWS)  ii)  Rachana  Sharir  -  04  seats (05 including EWS) iii) Kriya Sharir- 04 seats (05 including EWS) iv) Rasa Shastra & Bhaishajya Kalpana- 05 seats (06  including  EWS)  v)  Dravyaguna  Vigyan  -  05  seats (07  including  EWS)  vi)  Kaumarbhritya  -  05  seats  (06 including  EWS)  vii)  Prasuti  &  Stri  Raga-  05  seats (06 including EWS) viii) Ayurved Samhita & Siddhanta- 05 seats  (06  including  EWS),  for  the  academic  session 2024-25 under section 28 of NCISM Act, 2020",60,39,0,75,49,0,"Conditional Permission (UG - 60 seats, PG - 39
seats without EWS) & (UG
- 75 seats, PG - 49 seats including EWS)"
112,AYU0256,Uttar Pradesh,"Major S.D. Singh Ayurvedic Medical College & Hospital, Baikunthpuri (baghar) Bewar Road, Fatehgarh, Distt.
Farrukhabad-209625, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of 100 seats in UG (BAMS) course and 11 seats (instead of 12 seats) in 02 PG courses in the subject namely i) Prasuti &  Stri Roga  - 06  seats,  ii)  Shalya  tantra  - 05 seats  [instead  of  06  seats]  for  the  academic  session 2024-25",100,11,0,0,0,0,"Conditional Permission in UG and seat reduction in PG (UG - 100 seats, PG -
11 seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
113,AYU0260,Uttar Pradesh,"Bharat Ayurved Medical College, Hospital & Research Centre, 10 K.M., Roorkee Road, NH-58,
P.O. Barla, Muzaffarnagar- 251001, Uttar Pradesh",Private,"Grant of Conditional Permission with intake capacity of
100  seats  in  UG  (BAMS)  course,  under  section  28  of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
114,AYU0261,West Bengal,"JB Roy State Ayurvedic Medical College & Hospital
170-172, Raja Dinendra Street, PO- Shyambazar,  Kolkata- 700004
West Bengal",Government,"Grant of Conditional Permission with 60 seats (75 seats including EWS) in UG (BAMS) course under section 28 of NCISM Act, 2020 for the academic session 2024-25",60,0,0,75,0,0,Conditional Permission  ( UG - 60 seats without EWS & UG- 75 seats with EWS)
115,AYU0263,West Bengal,"Belley Sankarpur Rajiv Gandhi Memorial Ayurvedic College & Hospital, P.O. & Village, Fingapara,
Distt. 24, Pargnas (N) 743126, West Bengal",Private,"Grant of Conditional Permission with 54 seats (instead of 60 seats) in UG (BAMS) course under section 28 of NCISM Act, 2020 for the academic session 2024-25",54,0,0,0,0,0,"Conditional Permission
with Seat Reduction   (UG - 54 seats without EWS)"
116,AYU0265,West Bengal,"Raghunath Ayurved Mahavidyalaya & Hospital, P.O.- Contai, Distt-Purba Medinipur-721401,
West Bengal",Private,"Grant of Conditional Permission with 40 seats (instead of  50  seats)  in  UG  (BAMS)  course  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020",40,0,0,0,0,0,"Conditional Permission
with Seat Reduction   (UG - 40 seats without EWS)"
117,AYU0324,Uttar Pradesh,"Prabudha Ayurvedic Medical College, Hospital & Research Centre, Gram- Bakka khera, Mall Malihabad Road-227115, Lucknow Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  50  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",50,0,0,0,0,0,Conditional Permission (UG - 50 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
118,AYU0327,Maharashtra,"Shree Dhaneshwari Manav Vikas Mandal,
Sou Shanta devi Ved prakash Patil Ayurved College & Research Institute Gat No.421, Hatta, Tq. Basmat, Distt. Hingoli 431738,
Maharashtra",Private,"Grant  of  Conditional  Permission  for  100  seats  in  UG (BAMS)  course  for  the  academic  session  2024-25, under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
119,AYU0328,Maharashtra,"Jagdamba Education Society, Matoshri Asarabai Darade Ayurved College, Post.
Babhulgon, Tal. Yeola, Distt. Nashik-423401, Maharashtra",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and  12  seats  in  02  PG  courses  in  the subject namely (i) Shalya trantra-06 seats (ii) Prasuti & Stri Roag-06 seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",100,12,0,0,0,0,"Conditional Permission (UG- 100 seats without EWS, PG - 12 seats without EWS)"
120,AYU0331,Uttar Pradesh,"Shivalik Ayurvedic Medical College & Hospital,
Vill.- Bijarwa, post-bankat Azamgarh-276125,
Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 for the academic session 2024-25",60,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS)
121,AYU0337,Chhattisgarh,"Govt. Ayurved College & Hospital, Ashok Nagar, Sarkanda, Sendri, Bilaspur- 495001,
Chhattisgarh",Government,"Grant of Conditional Permission for intake capacity with
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course for the academic session 2024-25 under section 28 of NCISM Act, 2020",60,0,0,75,0,0,Conditional Permission (UG - 60 seats without EWS) & (UG - 75 seats including EWS)
122,AYU0346,Karnataka,"Shri Dharmasthala Manjunatheshwara Institute of Ayurveda & Hospital, Anchepalya,
Kumbalagoudu Village, Bengaluru-560074, Karnataka",Private,"Gant of Conditional Permission with intake capacity of for 100 seats in UG (BAMS) course and 36 seats in 06 PG  course  in  subject  namely  i)  Kaumarbhritya-Bala Roga   -06   seats   (ii)   Kayachikitsa-   06   seats   (iii) Panchkarma-06   seats   (iv)   Shalakya-06   seats   (v) Shalya  Tantra-06  seats  (vi)  Prasuti  &  Stri  Roga  -  06 seats for the academic session 2024-25 under section 28 of NCISM Act, 2020",100,36,0,0,0,0,"Conditional Permission (UG - 100 seats without EWS, PG - 36 seats without EWS)"
123,AYU0349,Madhya Pradesh,"Mansarovar Ayurvedic Medical College, Hospital & Research Center Kolar Road,
Bhopal-462024, Madhya Pradesh",Private,"Grant of Conditional Permission with 100 seats in
UG  (BAMS)  course  and  15  seats  in  03  PG  courses  in the subject namely (i) Ayurved Samhita and Siddhant- 05  seats  (ii)  Shalakya  Tantra  -  05  seats  (iii)  Prasuti and Stri Roga - 05 seats for the academic session 2024 25 under section 28 of NCISM Act, 2020",100,15,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 15
seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
